City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,mendi,-6.1761,143.6513,20.4,60,95,2.89,PG,1699933018
290,saipan,15.1355,145.701,31.39,66,40,9.26,MP,1699933018
291,tartouss,34.889,35.8866,21.34,66,72,1.21,SY,1699933018
292,cestos city,5.46,-9.5828,26.18,86,69,2.46,LR,1699933019
293,campoverde,-8.4753,-74.8058,27.83,69,99,0.49,PE,1699933019
294,port macquarie,-31.4333,152.9167,25.5,66,20,6.28,AU,1699932834
295,chipata,-13.6333,32.65,20.26,75,5,2.45,ZM,1699933019
296,katabu,-4.9333,122.5167,35.03,41,42,1.67,ID,1699933019
297,malpica,43.3228,-8.8105,19.09,75,100,9.82,ES,1699933020
298,mersa matruh,31.3525,27.2453,21.19,63,33,7.02,EG,1699933020
299,suwayr,30.1171,40.3893,19.52,45,45,2.07,SA,1699933020
300,yanchep,-31.55,115.6833,30.01,51,0,5.47,AU,1699933020
301,saldanha,-33.0117,17.9442,19.03,66,16,2.88,ZA,1699933020
302,nizhnesortymskiy,62.4397,71.7603,-8.43,92,100,7.48,RU,1699933021
303,madalena,41.2162,-8.3345,17.32,88,43,1.24,PT,1699933021
304,ihsaniye,40.6909,29.8347,9.21,76,5,0.47,TR,1699933021
305,gadzhiyevo,69.2551,33.3362,-9.31,98,95,1.35,RU,1699933021
306,piacabucu,-10.4056,-36.4344,24.11,87,75,2.89,BR,1699933021
307,new norfolk,-42.7826,147.0587,16.51,29,4,2.73,AU,1699933022
308,kerikeri,-35.2268,173.9474,14.29,87,100,4.05,NZ,1699933022
309,melfi,40.9965,15.6514,11.96,93,84,3.0,IT,1699933023
310,kaohsiung,22.6163,120.3133,26.97,61,40,2.57,TW,1699933023
311,udachny,66.4167,112.4,-5.86,85,100,3.76,RU,1699933023
312,strezhevoy,60.7333,77.5889,-13.35,96,100,1.34,RU,1699933024
313,sao joao de pirabas,-0.7747,-47.1772,24.86,85,80,2.42,BR,1699933024
314,sainte-adresse,49.5089,0.0845,12.59,87,0,8.23,FR,1699933024
315,urengoy,65.9667,78.3667,-22.63,100,15,2.44,RU,1699933025
